Customer_ID,Name,Address,Phone,IdentityNumber
CUST001,Amanda Norris,"2528 Williams Mall
New Robert, CO 89896",0213804298,407202
CUST002,Lisa Beard,"13847 Jessica Route Apt. 592
North Daniel, UT 21186",0954267233,608941
CUST003,David Bruce,"91688 Nicholas Tunnel Suite 405
Morrisburgh, VT 39896",0161806893,393626
CUST004,Ann Burch,"7744 Shields Gardens Suite 499
South Paulland, WY 74154",0148733712,427128
CUST005,Joe Baker,"05121 Daniel Cliff
Port David, WI 09983",0364538693,898953
CUST006,Gregory Dyer,"4686 Frederick Islands
Kimberlyland, WY 25962",0769543584,329728
CUST007,David Harper,"067 Molina Plaza
Keithstad, OH 30255",0395936152,923645
CUST008,Kathy Cardenas,"83247 Richards Bypass Suite 764
Jonestown, IA 16631",0155045955,615925
CUST009,Amber Mclaughlin,"3681 Elliott Gateway Apt. 531
Jennifertown, IL 30256",0444679354,353036
CUST010,Kenneth Hamilton,"94001 David Summit
Erikton, NE 69674",0169287167,211897
CUST011,Lisa Sloan,"7765 Lopez Curve Apt. 929
Marissaville, OK 27393",0478440791,996899
CUST012,John Hernandez,"0827 Carson Square
Robinsonview, SD 51291",0314131250,999599
CUST013,Corey Washington,"912 Henry Shoal
South Jamie, PA 72192",0135197876,593075
CUST014,Brandon Howell,"252 Day Port
North Rogerfort, RI 32814",0155944898,297530
CUST015,James Fitzpatrick,"Unit 3026 Box 4542
DPO AE 30381",0444488264,795033
CUST016,Michael Alvarez,"936 Wilson Field
North Christinaton, RI 03875",0943025722,706357
CUST017,Mr. Mike Henry,"9819 Dennis Coves
New Laurie, TX 81175",0806314408,850635
CUST018,Ronald Ramirez,"10903 Erin Pine Apt. 429
Thompsonmouth, VA 95111",0196520669,998703
CUST019,Christopher Evans,"610 Stephen Mission Suite 972
Edwardsmouth, DC 31166",0669230547,989036
CUST020,Robert Martin,"86603 Anderson Summit
West Katiefort, NH 53320",0787443142,544252
CUST021,Troy Perez,"1963 Sandra Turnpike
Stephenburgh, KS 65152",0145828704,585420
